variable,group,value
Under 18,Akira Kurosawa,4.36
18-24,Akira Kurosawa,4.473118279569892
25-34,Akira Kurosawa,4.42827868852459
35-44,Akira Kurosawa,4.382585751978892
45-49,Akira Kurosawa,4.41764705882353
50-55,Akira Kurosawa,4.502890173410405
56+,Akira Kurosawa,4.469135802469136
Under 18,Frank Darabont,4.411764705882353
18-24,Frank Darabont,4.490304709141275
25-34,Frank Darabont,4.402840059790733
35-44,Frank Darabont,4.412420382165605
45-49,Frank Darabont,4.386029411764706
50-55,Frank Darabont,4.308
56+,Frank Darabont,4.357142857142857
Under 18,M. Night Shyamalan,4.228070175438597
18-24,M. Night Shyamalan,4.305182341650672
25-34,M. Night Shyamalan,4.41879468845761
35-44,M. Night Shyamalan,4.445859872611465
45-49,M. Night Shyamalan,4.419889502762431
50-55,M. Night Shyamalan,4.416107382550336
56+,M. Night Shyamalan,4.375
Under 18,Clyde Bruckman,4.4
18-24,Clyde Bruckman,3.9411764705882355
25-34,Clyde Bruckman,4.421052631578948
35-44,Clyde Bruckman,4.345454545454546
45-49,Clyde Bruckman,4.4375
50-55,Clyde Bruckman,4.518518518518518
56+,Clyde Bruckman,4.3076923076923075
Under 18,Satyajit Ray,5.0
18-24,Satyajit Ray,4.25
25-34,Satyajit Ray,4.4523809523809526
35-44,Satyajit Ray,4.242424242424242
45-49,Satyajit Ray,4.285714285714286
50-55,Satyajit Ray,4.5
56+,Satyajit Ray,4.181818181818182
