variable,group,value
Under 18,Keiju Kobayashi,5.0
18-24,Keiju Kobayashi,5.0
25-34,Keiju Kobayashi,4.615384615384615
35-44,Keiju Kobayashi,4.3125
45-49,Keiju Kobayashi,4.333333333333333
50-55,Keiju Kobayashi,4.777777777777778
56+,Keiju Kobayashi,5.0
Under 18,Yukiko Shimazaki,4.5
18-24,Yukiko Shimazaki,4.604938271604938
25-34,Yukiko Shimazaki,4.5495049504950495
35-44,Yukiko Shimazaki,4.532894736842105
45-49,Yukiko Shimazaki,4.541666666666667
50-55,Yukiko Shimazaki,4.6571428571428575
56+,Yukiko Shimazaki,4.513513513513513
Under 18,Keiko Tsushima,4.5
18-24,Keiko Tsushima,4.604938271604938
25-34,Keiko Tsushima,4.5495049504950495
35-44,Keiko Tsushima,4.532894736842105
45-49,Keiko Tsushima,4.541666666666667
50-55,Keiko Tsushima,4.6571428571428575
56+,Keiko Tsushima,4.513513513513513
Under 18,Richard S. Castellano,4.471698113207547
18-24,Richard S. Castellano,4.5054945054945055
25-34,Richard S. Castellano,4.5740514075887395
35-44,Richard S. Castellano,4.541935483870968
45-49,Richard S. Castellano,4.357843137254902
50-55,Richard S. Castellano,4.540404040404041
56+,Richard S. Castellano,4.467213114754099
Under 18,Anne Reid,4.323529411764706
18-24,Anne Reid,4.568
25-34,Anne Reid,4.543859649122807
35-44,Anne Reid,4.450704225352113
45-49,Anne Reid,4.607142857142857
50-55,Anne Reid,4.59375
56+,Anne Reid,4.454545454545454
