variable,group,value
Under 18,Short,4.150793650793651
18-24,Short,4.340681362725451
25-34,Short,4.4031971580817055
35-44,Short,4.323920265780731
45-49,Short,4.430232558139535
50-55,Short,4.47682119205298
56+,Short,4.405797101449275
Under 18,Film-Noir,4.241666666666666
18-24,Film-Noir,4.108986615678776
25-34,Film-Noir,4.265927977839335
35-44,Film-Noir,4.170153417015341
45-49,Film-Noir,4.156706507304117
50-55,Film-Noir,4.292079207920792
56+,Film-Noir,4.199672667757774
Under 18,Documentary,3.835616438356164
18-24,Documentary,3.9491833030852996
25-34,Documentary,4.038572251007484
35-44,Documentary,4.007172131147541
45-49,Documentary,3.981432360742706
50-55,Documentary,4.021084337349397
56+,Documentary,3.9078947368421053
Under 18,History,4.016081871345029
18-24,History,3.93058433485288
25-34,History,3.94294624839479
35-44,History,3.9771768016257623
45-49,History,3.989902280130293
50-55,History,4.087016574585635
56+,History,4.137969094922737
Under 18,War,3.9872262773722627
18-24,War,3.8409026798307475
25-34,War,3.9044873139022855
35-44,War,3.9526391325147503
45-49,War,3.954560207724765
50-55,War,4.007246376811594
56+,War,4.078133783024171
